"","eventID","plotID","n"
"2485","STER.2016.32","STER_027",1
"2486","STER.2016.32","STER_028",1
"2487","STER.2016.32","STER_029",1
"2488","STER.2016.32","STER_031",1
"2489","STER.2016.36","STER_006",4
"2490","STER.2016.36","STER_026",1
"2491","STER.2016.36","STER_027",1
"2492","STER.2016.36","STER_028",3
"2493","STER.2016.36","STER_029",1
"2494","STER.2017.18","STER_006",3
"2495","STER.2017.18","STER_027",2
"2496","STER.2017.18","STER_028",1
"2497","STER.2017.18","STER_029",5
"2498","STER.2017.22","STER_006",2
"2499","STER.2017.22","STER_026",4
"2500","STER.2017.22","STER_027",3
"2501","STER.2017.22","STER_028",2
"2502","STER.2017.22","STER_029",38
"2503","STER.2017.22","STER_031",11
"2504","STER.2017.30","STER_006",3
"2505","STER.2017.30","STER_026",3
"2506","STER.2017.30","STER_027",1
"2507","STER.2017.30","STER_028",8
"2508","STER.2017.30","STER_029",13
"2509","STER.2017.30","STER_031",8
"2510","STER.2017.39","STER_026",1
"2511","STER.2017.39","STER_028",4
"2512","STER.2017.39","STER_029",9
"2513","STER.2017.39","STER_031",3
"2514","STER.2018.21","STER_006",4
"2515","STER.2018.21","STER_026",2
"2516","STER.2018.21","STER_027",2
"2517","STER.2018.21","STER_028",3
"2518","STER.2018.21","STER_029",11
"2519","STER.2018.21","STER_031",4
"2520","STER.2018.25","STER_006",3
"2521","STER.2018.25","STER_026",3
"2522","STER.2018.25","STER_027",1
"2523","STER.2018.25","STER_028",3
"2524","STER.2018.25","STER_029",6
"2525","STER.2018.25","STER_031",1
"2526","STER.2018.33","STER_006",4
"2527","STER.2018.33","STER_026",1
"2528","STER.2018.33","STER_027",1
"2529","STER.2018.33","STER_029",3
"2530","STER.2018.37","STER_006",5
"2531","STER.2018.37","STER_027",1
"2532","STER.2018.37","STER_028",1
"2533","STER.2018.37","STER_029",7
"2534","STER.2018.37","STER_031",1
"2535","STER.2019.15","STER_006",13
"2536","STER.2019.15","STER_027",1
"2537","STER.2019.15","STER_029",7
"2538","STER.2019.15","STER_031",6
"2539","STER.2019.24","STER_006",2
"2540","STER.2019.24","STER_026",1
"2541","STER.2019.24","STER_027",2
"2542","STER.2019.24","STER_028",3
"2543","STER.2019.24","STER_029",21
"2544","STER.2019.24","STER_031",12
"2545","STER.2019.28","STER_006",3
"2546","STER.2019.28","STER_026",2
"2547","STER.2019.28","STER_027",1
"2548","STER.2019.28","STER_028",5
"2549","STER.2019.28","STER_029",33
"2550","STER.2019.28","STER_031",19
"2551","STER.2019.32","STER_006",2
"2552","STER.2019.32","STER_026",2
"2553","STER.2019.32","STER_028",3
"2554","STER.2019.32","STER_029",12
"2555","STER.2019.32","STER_031",6
"2556","STER.2020.31","STER_006",3
"2557","STER.2020.31","STER_026",3
"2558","STER.2020.31","STER_028",3
"2559","STER.2020.31","STER_029",7
"2560","STER.2020.31","STER_031",3
"2561","STER.2020.35","STER_006",1
"2562","STER.2020.35","STER_027",2
"2563","STER.2020.35","STER_028",1
"2564","STER.2021.20","STER_006",3
"2565","STER.2021.28","STER_026",1
"2566","STER.2021.28","STER_029",1
"2567","STER.2021.33","STER_028",1
"2568","STER.2021.33","STER_029",3
"2569","STER.2021.33","STER_031",1
"2570","STER.2021.37","STER_028",1
"2571","STER.2021.37","STER_029",4
"2572","STER.2021.37","STER_031",3
"2573","STER.2022.14","STER_031",1
"2574","STER.2022.19","STER_006",1
"2575","STER.2022.19","STER_029",1
"2576","STER.2022.25","STER_006",1
"2577","TEAK.2019.27","TEAK_001",8
"2578","TEAK.2019.27","TEAK_003",11
"2579","TEAK.2019.27","TEAK_007",3
"2580","TEAK.2019.27","TEAK_010",9
"2581","TEAK.2019.31","TEAK_001",18
"2582","TEAK.2019.31","TEAK_003",12
"2583","TEAK.2019.31","TEAK_004",3
"2584","TEAK.2019.31","TEAK_007",8
"2585","TEAK.2019.31","TEAK_010",7
"2586","TEAK.2019.31","TEAK_032",1
"2587","TEAK.2019.35","TEAK_001",15
"2588","TEAK.2019.35","TEAK_003",11
"2589","TEAK.2019.35","TEAK_004",6
"2590","TEAK.2019.35","TEAK_007",12
"2591","TEAK.2019.35","TEAK_010",7
"2592","TEAK.2019.35","TEAK_032",3
"2593","TEAK.2019.39","TEAK_001",13
"2594","TEAK.2019.39","TEAK_003",14
"2595","TEAK.2019.39","TEAK_004",5
"2596","TEAK.2019.39","TEAK_007",9
"2597","TEAK.2019.39","TEAK_010",9
"2598","TEAK.2019.39","TEAK_032",5
"2599","TEAK.2021.27","TEAK_003",4
"2600","TEAK.2021.27","TEAK_010",3
"2601","TEAK.2022.25","TEAK_001",1
"2602","TEAK.2022.30","TEAK_001",6
"2603","TEAK.2022.30","TEAK_003",3
"2604","TEAK.2022.30","TEAK_007",4
"2605","TEAK.2022.30","TEAK_010",4
"2606","TEAK.2022.34","TEAK_001",13
"2607","TEAK.2022.34","TEAK_003",7
"2608","TEAK.2022.34","TEAK_010",4
"2609","TREE.2015.24","TREE_004",1
"2610","TREE.2015.24","TREE_016",1
"2611","TREE.2015.24","TREE_028",2
"2612","TREE.2015.28","TREE_016",2
"2613","TREE.2015.28","TREE_019",1
"2614","TREE.2015.28","TREE_028",3
"2615","TREE.2015.32","TREE_016",5
"2616","TREE.2015.32","TREE_019",4
"2617","TREE.2015.32","TREE_027",2
"2618","TREE.2015.32","TREE_028",9
"2619","TREE.2016.23","TREE_004",2
"2620","TREE.2016.23","TREE_019",1
"2621","TREE.2016.23","TREE_028",1
"2622","TREE.2016.27","TREE_016",4
"2623","TREE.2016.27","TREE_019",1
"2624","TREE.2016.27","TREE_027",1
"2625","TREE.2016.27","TREE_028",4
